,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.7993,0.8108956219342154,0.028351285858585845,0.20224869383490074,0.1798787172279475,0.5768720220036113,0.12500085320321852,0.8151650328507922,0.015865032850792216,GPcalib,ImageNet,inceptionv4,1000,50000,1000,10000
1,0.801,0.7713393082047793,0.02665066262626263,0.3841111111111111,0.19479034567074496,0.5501679464287093,0.14171142145149032,0.7969725727566694,0.0040274272433306335,GPcalib,ImageNet,inceptionv4,1000,50000,1000,10000
2,0.8091,0.7668673130667557,0.034302459595959615,0.19746464646464645,0.20813026222571765,0.5231554625815467,0.15251408661632904,0.7855712303255453,0.023528769674454594,GPcalib,ImageNet,inceptionv4,1000,50000,1000,10000
3,0.7992,0.7734260129429058,0.02291968080808081,0.18710279263220442,0.20203023175439014,0.5391155039111054,0.14727132745546473,0.7897551482829426,0.009444851717057473,GPcalib,ImageNet,inceptionv4,1000,50000,1000,10000
4,0.7954,0.789310480461119,0.027452579797979798,0.41408080808080805,0.20742988108905444,0.533720497913186,0.14065671113002587,0.7927208658402153,0.002679134159784727,GPcalib,ImageNet,inceptionv4,1000,50000,1000,10000
5,0.7941,0.7945016960679064,0.027285072727272718,0.40409090909090906,0.19095882905001899,0.563069130935159,0.13061980623747566,0.8063107459263698,0.012210745926369795,GPcalib,ImageNet,inceptionv4,1000,50000,1000,10000
6,0.8011,0.7779595500074025,0.02346329393939394,0.19917171717171717,0.21293641528124582,0.5336487719322468,0.142763657566782,0.7928747746605748,0.008225225339425199,GPcalib,ImageNet,inceptionv4,1000,50000,1000,10000
7,0.8001,0.7940557148249469,0.02556000101010101,0.21744444444444444,0.19321383596751154,0.5548327872343253,0.1323071466515591,0.8051521261322292,0.005052126132229176,GPcalib,ImageNet,inceptionv4,1000,50000,1000,10000
8,0.8059,0.7426257686286799,0.026149794949494962,0.22577777777777777,0.20105924176496148,0.5398365463607526,0.131614093698324,0.8046144755371428,0.0012855244628571932,GPcalib,ImageNet,inceptionv4,1000,50000,1000,10000
9,0.8054,0.7545032826243974,0.026958717171717172,0.2474141414141414,0.19329752709488987,0.5635573907148882,0.12248354672568441,0.816420019700251,0.011020019700251016,GPcalib,ImageNet,inceptionv4,1000,50000,1000,10000
0,0.8005,0.7817164395134967,0.023828052525252535,0.2374242424242424,0.21658511094291877,0.5290128114887177,0.14333046514207057,0.7913020185457718,0.009197981454228302,GPcalib,ImageNet,se_resnext50_32x4d,1000,50000,1000,10000
1,0.7964,0.807532572880932,0.03624651972763815,0.15234887334887337,0.22108571806733102,0.5098211319035652,0.15895053438437673,0.7736113768718483,0.022788623128151775,GPcalib,ImageNet,se_resnext50_32x4d,1000,50000,1000,10000
2,0.7882,0.8329055246870645,0.0252960202020202,0.3841111111111111,0.2246916210721441,0.5281813178580372,0.14153356588178895,0.7885120464943062,0.0003120464943062312,GPcalib,ImageNet,se_resnext50_32x4d,1000,50000,1000,10000
3,0.7918,0.8480635038034768,0.03879014646464647,0.17918313570487487,0.22321349341433966,0.5046089567823479,0.16821216978009584,0.7636691887702048,0.028130811229795022,GPcalib,ImageNet,se_resnext50_32x4d,1000,50000,1000,10000
4,0.7915,0.8001969266387733,0.02550581717171718,0.19280375180375178,0.21888988634559292,0.5327117701154239,0.14010387418275863,0.7916781876534126,0.00017818765341244547,GPcalib,ImageNet,se_resnext50_32x4d,1000,50000,1000,10000
5,0.7942,0.8241474679730129,0.02562891717171716,0.8841111111111111,0.2154013053833721,0.5335384701574116,0.14523610229082806,0.7886557047190197,0.005544295280980341,GPcalib,ImageNet,se_resnext50_32x4d,1000,50000,1000,10000
6,0.7875,0.8186354392241707,0.02435696767676768,0.40409090909090906,0.20359432648147485,0.5515975893372663,0.13328457773466432,0.799752882768121,0.012252882768120962,GPcalib,ImageNet,se_resnext50_32x4d,1000,50000,1000,10000
7,0.7876,0.811627977678327,0.02276407777777777,0.21744444444444444,0.2094280720783907,0.5372885140973787,0.13668527592587743,0.7940667570750622,0.006466757075062182,GPcalib,ImageNet,se_resnext50_32x4d,1000,50000,1000,10000
8,0.7843,0.8265336458423425,0.029938393939393945,0.3841111111111111,0.21767114817714334,0.5185044222059891,0.15858683942964344,0.7717617457051625,0.0125382542948375,GPcalib,ImageNet,se_resnext50_32x4d,1000,50000,1000,10000
9,0.7821,0.8724123174565633,0.026555352525252516,0.21744444444444444,0.2081487186937942,0.5532308130232323,0.1379047867912036,0.794793660408362,0.012693660408361965,GPcalib,ImageNet,se_resnext50_32x4d,1000,50000,1000,10000
0,0.8012,0.7518036201417494,0.02294657272727274,0.17140776182881445,0.2201470424070479,0.5256787896512742,0.13104916489879279,0.8007083524657606,0.0004916475342394699,GPcalib,ImageNet,se_resnext101_32x4d,1000,50000,1000,10000
1,0.8075,0.7569423924004819,0.022969181818181833,0.16583838383838384,0.20835357574782076,0.5328802833602964,0.1337557383486847,0.802071695830294,0.005428304169705855,GPcalib,ImageNet,se_resnext101_32x4d,1000,50000,1000,10000
2,0.7996,0.772007080194981,0.022835979797979786,0.2274343434343434,0.21217224076186494,0.5402366967728491,0.12672418825099616,0.8065347731077823,0.006934773107782455,GPcalib,ImageNet,se_resnext101_32x4d,1000,50000,1000,10000
3,0.8021,0.7543007636059973,0.027339269696969717,0.16109241670435703,0.2126778293918045,0.5192285775361188,0.14263326893689707,0.7904491904801128,0.011650809519887242,GPcalib,ImageNet,se_resnext101_32x4d,1000,50000,1000,10000
4,0.8017,0.7615796334217005,0.023758715151515158,0.2274343434343434,0.20988417857854796,0.5385195036200667,0.14279703561013396,0.7940080341192148,0.007691965880785134,GPcalib,ImageNet,se_resnext101_32x4d,1000,50000,1000,10000
5,0.8114,0.7321304182331798,0.02651792626262625,0.248530179847253,0.21124728211243812,0.5281338086687164,0.13564260479988083,0.8009456267802966,0.010454373219703397,GPcalib,ImageNet,se_resnext101_32x4d,1000,50000,1000,10000
6,0.8029,0.7614444001856862,0.023740166666666666,0.1798152958152958,0.2101548984308288,0.5334192429171631,0.14067085791574324,0.7950923009584226,0.007807699041577354,GPcalib,ImageNet,se_resnext101_32x4d,1000,50000,1000,10000
7,0.7988,0.7674853325639072,0.026712057575757574,0.2827128427128427,0.20981840732579432,0.5406553408114966,0.12455736913307772,0.8080834281077707,0.009283428107770664,GPcalib,ImageNet,se_resnext101_32x4d,1000,50000,1000,10000
8,0.7981,0.7673411792370534,0.02811467272727273,0.9040909090909091,0.2057198044623695,0.5389722209870713,0.13429403912980864,0.7997384187877895,0.0016384187877893919,GPcalib,ImageNet,se_resnext101_32x4d,1000,50000,1000,10000
9,0.7979,0.7592536744865083,0.025134311111111127,0.1441010101010101,0.22146565304780833,0.5135559852828308,0.1497922919211091,0.7821703949018072,0.015729605098192892,GPcalib,ImageNet,se_resnext101_32x4d,1000,50000,1000,10000
0,0.8062,0.7139420737225041,0.022095561027495735,0.1610980775496904,0.21167765836526983,0.5359057576680054,0.13200908675972745,0.8036328100903671,0.0025671899096328388,GPcalib,ImageNet,polynet,1000,50000,1000,10000
1,0.8068,0.7170202282169246,0.02898068032272741,0.40409090909090906,0.21392586905388966,0.5291307525735743,0.14151243818774534,0.7948558262673416,0.011944173732658353,GPcalib,ImageNet,polynet,1000,50000,1000,10000
2,0.8111,0.7360544301151583,0.023894261616161615,0.24423232323232322,0.21026811404719936,0.5492349551953785,0.13611375823097224,0.8044486137352653,0.006651386264734632,GPcalib,ImageNet,polynet,1000,50000,1000,10000
3,0.8114,0.7177348231629658,0.026783267676767683,0.21744444444444444,0.2053852372545189,0.5355854368795343,0.14224862579833764,0.796990878422709,0.01440912157729099,GPcalib,ImageNet,polynet,1000,50000,1000,10000
4,0.8099,0.7197494143610189,0.035702203279912526,0.2825050505050505,0.22394925221216969,0.5147967373763971,0.1509499529519919,0.7855084928794348,0.02439150712056512,GPcalib,ImageNet,polynet,1000,50000,1000,10000
5,0.8044,0.7315805315647965,0.029252400000000005,0.8941010101010101,0.2033360192018094,0.5360301725296072,0.1436201193686124,0.7937194777266794,0.01068052227332067,GPcalib,ImageNet,polynet,1000,50000,1000,10000
6,0.8062,0.7286280605256615,0.03156265151515153,0.17142568542568543,0.215899914145082,0.5371461438344983,0.12864593227740584,0.8065845720730811,0.0003845720730811658,GPcalib,ImageNet,polynet,1000,50000,1000,10000
7,0.8118,0.7150566623004785,0.02943471041263212,0.40409090909090906,0.2166266075891768,0.5254067974970027,0.14213108576536176,0.7952995438646152,0.016500456135384756,GPcalib,ImageNet,polynet,1000,50000,1000,10000
8,0.8042,0.7433651237335286,0.02446211560527468,0.2274343434343434,0.20462983551193067,0.5420083937327078,0.1429677407522869,0.7953505863798751,0.008849413620124966,GPcalib,ImageNet,polynet,1000,50000,1000,10000
9,0.8107,0.7213875613776132,0.030752582438840784,0.2274343434343434,0.21086587971259632,0.524657089178232,0.1440825549176035,0.7932098597097381,0.01749014029026183,GPcalib,ImageNet,polynet,1000,50000,1000,10000
0,0.8127,0.7161876062611613,0.03570093838383839,0.22808585858585856,0.1577630068687248,0.5869667696398541,0.1229555509831819,0.8227128996695128,0.010012899669512756,GPcalib,ImageNet,senet154,1000,50000,1000,10000
1,0.8129,0.7328121816840915,0.03157047979797979,0.3841111111111111,0.1811769663517677,0.5518725676384423,0.1425051931830086,0.8003128858666849,0.01258711413331512,GPcalib,ImageNet,senet154,1000,50000,1000,10000
2,0.8126,0.7343888185370104,0.03229474949494949,0.2827128427128427,0.1592918007424867,0.5963599132511986,0.12015991250290639,0.8267159028434129,0.014115902843412895,GPcalib,ImageNet,senet154,1000,50000,1000,10000
3,0.8157,0.7284992321826868,0.025310001010101016,0.35414141414141415,0.16184200578538102,0.5894072282603329,0.12316663200460418,0.8238607304422237,0.008160730442223735,GPcalib,ImageNet,senet154,1000,50000,1000,10000
