n_samples_queried	n_samples	error	log-loss	$\text{ECE}_1$	MCE	sharpness	overconfidence	underconfidence	$\frac{o(f)}{u(f)}$	$\frac{\text{accuracy}}{\text{error}}$	$\abs{o(f) \mathbb{P}(\hat{y} \neq y) -u(f) \mathbb{P}(\hat{y} = y)}$	$avg. confidence	calibration_method	cv_run
3387	10250	0.09603960396039601	1.3507188899004092	0.07629516284961824	0.40156565656565657	0.11821381323716047	0.6197936939350247	0.14375440513640259	4.311476182917165	9.41237113402062	0.07042354809686949	0.8335368479427344		0
3457	10500	0.09559955995599556	1.3529566313822772	0.07622402795835133	0.3396969696969697	0.11699858716513317	0.6203426246823923	0.1435052019336088	4.322788416892284	9.460299194476415	0.07048168583577549	0.8339187542082289		0
3534	10750	0.09471947194719477	1.3538388185469288	0.07918909668744648	0.330959595959596	0.1165259415765697	0.6222305306022724	0.14496895075025718	4.292164131574696	9.557491289198602	0.07230022099838389	0.8329803070544213		0
3617	11000	0.09383938393839386	1.3573686894727937	0.07717410629951879	0.330959595959596	0.11834189633783439	0.6219931792109402	0.14517876456231382	4.284326162205131	9.656506447831182	0.07318782198381155	0.8329727940777946		0
3688	11250	0.09383938393839386	1.3582009511666258	0.0772229000677845	0.34843434343434343	0.117811981767783	0.6221977942891392	0.14489958764842803	4.293992856617279	9.656506447831182	0.0729156419066519	0.8332449741549541		0
3759	11500	0.09372937293729378	1.357544102318069	0.07684630685290746	0.6603030303030303	0.11800308755167588	0.6223745519384509	0.14379015141292942	4.328353130049544	9.669014084507037	0.07197801420111685	0.8342926128615894		0
3840	11750	0.09416941694169412	1.3579935900824636	0.07612192885955256	0.6515656565656566	0.11806434290419603	0.6192945533246562	0.14306365026397114	4.328804362128163	9.61915887850468	0.07127282273131276	0.8345577603269931		0
3923	12000	0.09372937293729378	1.3568725206209942	0.07658303608138588	0.3396969696969697	0.11828546529378708	0.6191079251774473	0.142322065831806	4.350048754274684	9.669014084507037	0.07095371023885946	0.8353169168238468		0
4001	12250	0.09383938393839386	1.3552674681437573	0.07767944016623882	0.3571717171717172	0.1179114440707318	0.619528411774638	0.14222607560631642	4.35594112495588	9.656506447831182	0.07074350379818063	0.8354171122634255		0
4081	12500	0.09372937293729378	1.355182005250308	0.07550920092009196	0.3571717171717172	0.11806630482904829	0.6199059585937932	0.14174592187003932	4.373360096822807	9.669014084507037	0.07035676871765364	0.8359138583450525		0
4150	12750	0.09372937293729378	1.3581510004310982	0.07490204020402036	0.36590909090909096	0.11763865326484127	0.6194470985311036	0.1417272474415629	4.370698716818828	9.669014084507037	0.07038285329759017	0.835887773765116		0
4217	13000	0.09339933993399341	1.359012389860087	0.07537234834594565	0.6515656565656566	0.11763219905462496	0.6220468739154948	0.1415389887779877	4.394880020594271	9.706713780918728	0.07022057321948752	0.8363800868465191		0
4294	13250	0.09416941694169412	1.3591888470529983	0.07440707959684852	0.3571717171717172	0.11684461370671848	0.6213946153310653	0.141363928466371	4.395708453156695	9.61915887850468	0.06953540112967077	0.8362951819286351		0
4364	13500	0.09427942794279431	1.358199184646794	0.0749890544610016	0.6603030303030303	0.11687742722922466	0.6208482101302536	0.1401940442590368	4.428492047658681	9.606767794632434	0.06844341587491998	0.8372771561822857		0
4433	13750	0.09394939493949395	1.3595310280240838	0.0744794535009056	0.6603030303030303	0.11721384475644192	0.6224829861954725	0.13985900441825283	4.450789484629229	9.644028103044496	0.06823743566312396	0.8378131693973822		0
4505	14000	0.09405940594059403	1.3599150207581225	0.07329725750352808	0.3571717171717172	0.11730327597912904	0.6222037444114676	0.13971419917409422	4.453403792095289	9.631578947368425	0.06804865002495725	0.8378919440344488		0
4579	14250	0.0943894389438944	1.3592246174445517	0.07125548665977705	0.3571717171717172	0.11656746342776021	0.6239579742788568	0.13836364283809505	4.509551508476656	9.594405594405593	0.06640853310362367	0.8392020279524819		0
4645	14500	0.09471947194719477	1.359130256458116	0.07311470035892473	0.7039898989898989	0.11680381040803256	0.6219282951659963	0.1385679806989007	4.4882540109854565	9.557491289198602	0.06653417503116948	0.8387463530216357		0
