,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,Method,Dataset,Model,n_classes,size,calib_size,test_size
8,0.96425,0.15939243550283594,0.07709265151515152,0.08427232142857143,0.9752020202020202,0.2175187966866105,0.6710054080011402,0.10114462916252501,0.890709734666076,0.07354026533392402,0.037764474196155064,Uncal,KITTI,random_forest,2,9090,1000,8000
9,0.9635,0.16117594151362283,0.0767831186868687,0.08384047619047619,0.9752020202020202,0.21925061177473468,0.6732482813090118,0.10147976132946036,0.8902978122268439,0.07320218777315615,0.0383831448782911,Uncal,KITTI,random_forest,2,9090,1000,8000
0,0.962125,0.12111720412264175,0.014357793398229096,0.025254801264606178,0.36136363636363633,0.11312524453968995,0.7991276643380915,0.03256540836941256,0.9610599667593842,0.0010650332406158536,0.031244690755148356,Uncal,KITTI,1layer_NN,2,9090,1000,8000
1,0.961875,0.1238925183235332,0.01636626347854725,0.026311930406999175,0.45540404040404037,0.11667222877079747,0.7982341663978991,0.03332681192660646,0.9602514503720154,0.0016235496279847147,0.03161140518175575,Uncal,KITTI,1layer_NN,2,9090,1000,8000
2,0.962125,0.12240720630966057,0.014609123989952804,0.025864012952986685,0.45540404040404037,0.11582492275230576,0.7939207399700099,0.03302897506069575,0.9604167453960922,0.0017082546039077773,0.031069482887576143,Uncal,KITTI,1layer_NN,2,9090,1000,8000
3,0.962,0.1219653671269918,0.014683212754665024,0.02594148656495011,0.46530303030303033,0.11747631757279701,0.7958428591183082,0.03317105262557174,0.9603314760206957,0.0016685239793042712,0.03139900115225684,Uncal,KITTI,1layer_NN,2,9090,1000,8000
4,0.96275,0.12243924473945103,0.016667079013582463,0.026035571140413622,0.45540404040404037,0.1142465637100779,0.8006767761380457,0.032855614870401374,0.9609434666946634,0.0018065333053367168,0.031065350296716157,Uncal,KITTI,1layer_NN,2,9090,1000,8000
5,0.961125,0.1241625378764955,0.015542042140778834,0.025522433853939167,0.45540404040404037,0.11808293873570248,0.7984786437031605,0.03364049714154946,0.9598331344587887,0.001291865541211367,0.032199352783349004,Uncal,KITTI,1layer_NN,2,9090,1000,8000
6,0.962,0.1233985647585074,0.014780302765650764,0.02596702033277025,0.46530303030303033,0.11615179129486472,0.7962327782911234,0.033010973483473004,0.9605002890839617,0.0014997109160383125,0.031332497832635524,Uncal,KITTI,1layer_NN,2,9090,1000,8000
7,0.961625,0.11960595299759896,0.015041688307579177,0.026172620245912697,0.45540404040404037,0.12084118054230246,0.7897380410551289,0.03328025891597704,0.9599280683454142,0.0016969316545858044,0.03139478406968186,Uncal,KITTI,1layer_NN,2,9090,1000,8000
8,0.96125,0.12289503805072519,0.014050439444087055,0.025275417611465456,0.46530303030303033,0.11718527404951141,0.7925997444348222,0.03284134567520844,0.9603944965665553,0.000855503433444791,0.031568240214056284,Uncal,KITTI,1layer_NN,2,9090,1000,8000
9,0.962875,0.11916979230392609,0.017009102326274526,0.027462661756404147,0.45540404040404037,0.11950926121407258,0.7873156691447399,0.03359318586801935,0.9597580553743293,0.003116944625670689,0.03042099770102878,Uncal,KITTI,1layer_NN,2,9090,1000,8000
