,,,,,,,accuracy,accuracy,log-loss,log-loss,ECE,ECE,ECE_15bins,ECE_15bins,MCE,MCE,sharpness,sharpness,overconfidence,overconfidence,underconfidence,underconfidence,avg_confidence,avg_confidence,weighted_abs_conf_difference,weighted_abs_conf_difference,brier_score,brier_score,cal_time,cal_time,fit_time,fit_time
,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Method,Dataset,Model,n_classes,size,calib_size,test_size,,,,,,,,,,,,,,,,,,,,,,,,,,
GPcalib_approx,PCam,random_forest,2,10000,1000,9000,0.8486666666666668,0.000737027731190098,0.3505942093447082,0.0032033158080821333,0.021158411896745225,0.0020186389118964274,0.02120698412698412,0.0026885669798870347,0.1017348868119083,0.018090449219183256,0.36012430026992004,0.025223081992168765,0.7054892708899033,0.006992241241806461,0.11967191570795366,0.00491058118845497,0.8538693358015399,0.004868731909711663,0.005922384283829019,0.004331717810825316,0.10607909333064089,0.0006103535003664381,0.11759669780731201,0.0012493743431150428,1.0536388158798218,0.34382319425180213
GPcalib_approx,PCam,1layer_NN,2,10000,1000,9000,0.5768333333333333,0.003309068058063261,0.6728345463482495,0.0009331774824182609,0.04870608305274972,0.0031875844731040597,0.04169492063492064,0.002089790552186136,0.6734343434343435,0.05816112145912176,0.2238649564908751,0.012206279455077653,0.5699721224434707,0.0017688369808679595,0.38568476533432905,0.0025841284458088852,0.5955529479946878,0.0023586353061421767,0.018719614661354415,0.00165761267923041,0.23678324179395965,0.00036779235200302463,0.11670660972595215,0.001511943691988401,0.8976227760314941,0.029790951466869244
Platt,PCam,AdaBoost,2,10000,1000,9000,0.7609444444444444,0.0030030848337199855,0.48142675268520196,0.002213002057143432,0.04085393041526376,0.0019681320456764327,0.023827936507936506,0.003840701798028438,0.18076236875829876,0.026912603090932616,0.31782617939878494,0.010874758712654954,0.6760407540144828,0.011785766668095226,0.20796236774680002,0.012013675041647302,0.7643000618491522,0.011834223626604374,0.009792065360625088,0.008071074267768923,0.1597084561316365,0.001006637742452798,0.00024454593658447267,2.0235809575995372e-05,0.003589344024658203,0.00020952524124103156
Platt,PCam,XGBoost,2,10000,1000,9000,0.8065222222222224,0.0013168216296786683,0.41493237484418355,0.0019897705485026605,0.037840567901234565,0.0009523414195530527,0.022548968253968252,0.0021096722675889843,0.22333725442258795,0.036491526011231894,0.3060308240929302,0.006743831853992317,0.7088161755458612,0.008213277656459992,0.1573452677817177,0.007809980019964737,0.8167587556598269,0.007714212185736659,0.011965571636286343,0.005812838026387994,0.13357046611609827,0.0008742766977368931,0.000252223014831543,1.2306982405480012e-05,0.0023558378219604493,8.880866806678037e-05
Platt,PCam,mondrian_forest,2,10000,1000,9000,0.7976222222222222,0.0013437861871861813,0.4105086992983728,0.0008904291343091097,0.04280767115600449,0.0023698939291075757,0.03021677248677248,0.002822681472683216,0.1916932448038537,0.036954653296579064,0.37824825463281087,0.0036258746933449017,0.6798689130124963,0.005342046898024068,0.16577019302259854,0.006019815522510394,0.802989297345702,0.005702233949589547,0.007392113033659717,0.004167785756085288,0.13529232973592614,0.0005377657492862661,0.0002453327178955078,1.572277687592828e-05,0.0024260759353637697,0.00010667893019730026
Platt,PCam,random_forest,2,10000,1000,9000,0.8484444444444446,0.0015243789353523286,0.3346980749714243,0.002251328009077046,0.02371253647586981,0.0035104775717993237,0.020170899470899485,0.0014507636128037332,0.14259628438589916,0.02593910379263269,0.3365185059326732,0.008284060190355123,0.7128774363130272,0.006501106894903979,0.11403940543964623,0.004724513578492123,0.8597283776528621,0.00491068406485354,0.011283933208417665,0.005440195894889597,0.105256131593089,0.0007075670268498892,0.00024521350860595703,1.2689429293474814e-05,0.002531003952026367,0.00014647082190488505
Platt,PCam,1layer_NN,2,10000,1000,9000,0.6239444444444444,0.007021278652030913,0.6588822782028274,0.0004803014312160638,0.07174271604938272,0.005142262360342116,0.06207425925925926,0.0033834280304116805,0.3819002661572757,0.03638628224031757,0.05846091799971294,0.010471583865020354,0.601207092516054,0.006421986626711836,0.38655327254553123,0.00682175655273585,0.6088323473784856,0.006608992546447361,0.015812775335496933,0.008128318766722487,0.2328078356882468,0.00023702891943689074,0.00024271011352539062,9.202394374930146e-06,0.001912069320678711,0.00010528344172785586
Isotonic,PCam,AdaBoost,2,10000,1000,9000,0.7644333333333334,0.0025144029554194647,0.5521628433182855,0.06494000639932104,0.033479441077441066,0.004716207715811089,0.026971137566137567,0.004741756487306764,0.7910808080808082,0.10053960908089367,0.3537817651946377,0.036329501880067186,0.6794496642136066,0.013965107064234641,0.20455987321814267,0.012706105896414962,0.7681137417987607,0.01248551475219506,0.010873194719348686,0.009742635763576738,0.16060616714569653,0.0011376907369584658,0.000418853759765625,1.6460976137516004e-05,0.0006647348403930664,5.0048149340198586e-05
Isotonic,PCam,XGBoost,2,10000,1000,9000,0.8049555555555555,0.001827394045800781,0.46957952986466867,0.05102032666562318,0.03229315263748597,0.005812360849683432,0.027023412698412703,0.003455124241472168,0.8240707070707071,0.14970853944272644,0.3678542369466169,0.04422458248874177,0.7017241196547214,0.01471351439283294,0.15483278082288943,0.009109917675989279,0.817191107022958,0.009729282984563678,0.015293806249522307,0.004693403403919176,0.13520235757754168,0.000922305062764905,0.00041074752807617186,1.6569586196508686e-05,0.0006591558456420898,3.434240116806693e-05
Isotonic,PCam,mondrian_forest,2,10000,1000,9000,0.7953666666666666,0.003218196719198035,0.4460822229711727,0.030716299094479243,0.02909532098765431,0.0065966227723633355,0.030700608465608466,0.005907865836851757,0.8633434343434343,0.0883299588859546,0.45431112877671975,0.048740174231262166,0.6637483825055221,0.018228186056068137,0.16626425383347004,0.009312522749272733,0.7989341936783353,0.010909679127279406,0.008195224294657556,0.007827614440451448,0.1359128746415172,0.0005195300034657018,0.00040426254272460935,2.494035106332119e-05,0.0006606578826904297,4.8952056109698595e-05
