,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,Method,Dataset,Model,n_classes,size,calib_size,test_size
8,0.7963333333333333,0.40168669513028576,0.033839254442901714,0.023431979526149536,0.13656874871160574,0.49061457994013113,0.6464439902011371,0.17460227799298922,0.7889508119625479,0.007382521370785489,0.13485328264709517,Beta,PCam,mondrian_forest,2,10000,1000,9000
9,0.7975555555555556,0.40240540645252953,0.029172212666022605,0.020985300329471972,0.1633838383838384,0.4928782540008068,0.646969534561803,0.1752801772826668,0.788735264381847,0.008820291173708583,0.1349405881744513,Beta,PCam,mondrian_forest,2,10000,1000,9000
0,0.8507777777777777,0.3488749617713373,0.02606676767676769,0.021346296296296315,0.1424603174603175,0.38881667122519975,0.6870695862649614,0.12679613152606967,0.8454284972509697,0.005349280526808012,0.10402057004319454,Beta,PCam,random_forest,2,10000,1000,9000
1,0.8474444444444444,0.35355578055567094,0.023792659932659943,0.01762142857142858,0.13953266845671913,0.38356054923081123,0.6977858042016656,0.11604039663359161,0.8555577560049427,0.008113311560498174,0.10518007904430304,Beta,PCam,random_forest,2,10000,1000,9000
2,0.8495555555555555,0.3551756252037143,0.023781313131313108,0.0172775132275132,0.15235042735042736,0.38341961911167816,0.7014303419281829,0.11654135675800852,0.8560734965776696,0.006517941022114088,0.10528405371689405,Beta,PCam,random_forest,2,10000,1000,9000
3,0.8484444444444444,0.353571248056962,0.025903703703703703,0.016094708994709005,0.16991875274483964,0.3913126541610263,0.6957965248684868,0.11909414515711483,0.8528515075000986,0.004407063055654109,0.1054551044856518,Beta,PCam,random_forest,2,10000,1000,9000
4,0.8453333333333334,0.34695669176297866,0.03588718294051628,0.024093927350208506,0.22237788847377893,0.3531159989212764,0.7033822529819532,0.12299827235916297,0.8501485822269298,0.004815248893596302,0.10743565540249296,Beta,PCam,random_forest,2,10000,1000,9000
5,0.8501111111111112,0.3529640433072511,0.029665160106994423,0.021698257674319862,0.18441150636802806,0.3283243009065867,0.7190656798673591,0.11570696177721115,0.8595272930648472,0.009416181953736072,0.1059215928684986,Beta,PCam,random_forest,2,10000,1000,9000
6,0.8465555555555555,0.3497113571948036,0.02698730639730639,0.029518518518518506,0.11934343434343442,0.38854887010870565,0.679669820681791,0.12945169911841756,0.8412590585309254,0.005296497024629948,0.10461896426014057,Beta,PCam,random_forest,2,10000,1000,9000
7,0.8475555555555555,0.34434222745815146,0.03944771043771045,0.03218492063492063,0.1817901234567902,0.35825018712453266,0.6889027735588391,0.13686982899666744,0.8365701721929053,0.010985383362650175,0.10669181420220201,Beta,PCam,random_forest,2,10000,1000,9000
