n_samples_queried	n_samples	error	log-loss	ECE	MCE	sharpness	overconfidence	underconfidence	avg_confidence	calibration_method	cv_run
1622	3394	0.10242024202420241	1.3467781681009536	0.04644052562986261	0.5991414141414141	0.11916155879535358	0.6480787941485354	0.11856905528668554	0.8575309609756016	GPCalibration	0
1678	3644	0.10429042904290431	1.3570488358726356	0.04625708312321496	0.6166161616161616	0.11875976875407838	0.648702012476018	0.11881352703968841	0.8569405688305964	GPCalibration	0
1750	3894	0.10286028602860287	1.3526114531986397	0.047171725174887956	0.6166161616161616	0.11767621674699712	0.652714855234903	0.11948060205923185	0.8570873575194279	GPCalibration	0
1806	4144	0.10385038503850386	1.3559553542896259	0.045533032457011076	0.6166161616161616	0.11925801457923074	0.650255908119011	0.1193480283866582	0.8567252517081	GPCalibration	0
1876	4394	0.10242024202420241	1.3543087234327327	0.046375453049518796	0.6428282828282827	0.11746812765420955	0.6470609310248977	0.11815373410074136	0.8577994950776932	GPCalibration	0
1938	4644	0.10319031903190323	1.3498592862637202	0.04466286890662322	0.3571717171717172	0.11728873041873376	0.6476225255888767	0.11677820725091476	0.8589102292071408	GPCalibration	0
1989	4894	0.10066006600660071	1.3468004776530575	0.050219457496008216	0.41833333333333333	0.11652123902233211	0.6444282420472722	0.11689919763451255	0.8590760066898915	GPCalibration	0
2199	5483	0.0997799779977998	1.335039134851203	0.03762879300659703	0.6865151515151515	0.11408285897027531	0.6515904503122533	0.10584900475194493	0.8699483094112264	GPCalibration	0
2242	5733	0.09922992299229927	1.3352150151769095	0.03875310687261411	0.7214646464646465	0.11300592536713155	0.6539673612789614	0.10626750516835216	0.8699406190929764	GPCalibration	0
2304	5983	0.10044004400440043	1.3448676679366833	0.0405513940682637	0.6865151515151515	0.11332970114202918	0.6558923473121256	0.10676593916600657	0.8693954486837773	GPCalibration	0
2363	6233	0.09900990099009899	1.3425132255681975	0.038229625241747126	0.37464646464646467	0.1106788436981054	0.6550056068847842	0.1052528677398336	0.8710103475695345	GPCalibration	0
2413	6483	0.09845984598459845	1.3420163850863778	0.03794799189710921	0.3833838383838384	0.11037583685077396	0.6559874371980422	0.10464504954225848	0.8717868619684751	GPCalibration	0
2468	6733	0.09834983498349836	1.3435323298255344	0.04159320670489678	0.669040404040404	0.11011096724142279	0.6555347239945868	0.10500137110919767	0.8714473933597554	GPCalibration	0
2516	6983	0.09922992299229927	1.3479716534703778	0.03747489126793868	0.3571717171717172	0.10977520817343571	0.6571120207079666	0.1046965840259156	0.8716677021643991	GPCalibration	0
2557	7233	0.09790979097909791	1.3529589903127235	0.03987904335142507	0.4008585858585859	0.11021992573359489	0.6582150231499583	0.10631612421770519	0.8706291696389747	GPCalibration	0
2606	7483	0.09933993399339935	1.356941496887096	0.04044362914460105	0.6777777777777778	0.10970276980528659	0.6573649937914889	0.10589408747102985	0.870588085288052	GPCalibration	0
2657	7733	0.09944994499449944	1.3538320414612415	0.0423851744193416	0.669040404040404	0.10934349623015611	0.6573630301791126	0.10592768066698592	0.8705315935469715	GPCalibration	0
2701	7983	0.10099009900990097	1.35096340601257	0.04118525247048649	0.6515656565656566	0.10958109663351731	0.6553794082797872	0.10616549732930554	0.8697528990787414	GPCalibration	0
2747	8233	0.10066006600660071	1.3548010993970596	0.044464971402090124	0.6428282828282827	0.1101224705853659	0.6548009140467499	0.1071880478158495	0.8688537453749403	GPCalibration	0
2797	8483	0.10088008800880088	1.3582490243200895	0.043466235413486265	0.39212121212121215	0.10904407349621514	0.6572820759636875	0.10784115689931827	0.8684644541606791	GPCalibration	0
2841	8733	0.09900990099009899	1.3540781766695542	0.04405619953719401	0.36590909090909096	0.10768696029085627	0.658690557700207	0.10753864708914367	0.8693157296226732	GPCalibration	0
