,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,cal_time,fit_time,Method,Dataset,Model,n_classes,size,calib_size,test_size
8,0.9144444444444444,0.27601602773317324,0.018226105499438837,0.024128042328042287,0.7961111111111111,0.13154612416202363,0.6187515840210588,0.057316200259891655,0.9149695990619231,0.000525154617478589,0.0026063919067382812,0.0432281494140625,Temp,MNIST,mondrian_forest,10,10000,1000,9000
9,0.9156666666666666,0.2752853356837272,0.01989407407407406,0.025230952380952368,0.7871212121212121,0.12245933284304607,0.6337171056847576,0.052062119842097215,0.9214385948440008,0.005771928177334233,0.0026137828826904297,0.011893033981323242,Temp,MNIST,mondrian_forest,10,10000,1000,9000
0,0.9652222222222222,0.11546787291957315,0.012760426487093142,0.028986243386243348,0.7511616161616161,0.050346112441669776,0.6662479256645957,0.018063119284367594,0.9709579203899686,0.005735698167746363,0.0030815601348876953,0.010510444641113281,Temp,MNIST,random_forest,10,10000,1000,9000
1,0.9655555555555555,0.11834704702866297,0.012573355780022475,0.026464550264550264,0.7062121212121212,0.04590488992552619,0.6876429249301191,0.016589109626959704,0.9732233271188954,0.007667771563339719,0.0025687217712402344,0.010166168212890625,Temp,MNIST,random_forest,10,10000,1000,9000
2,0.9667777777777777,0.11158006822043337,0.013775903479236786,0.029637566137566157,0.7601515151515151,0.05809939297678955,0.6385306640934182,0.022698919469820163,0.9660463744730029,0.0007314033047747734,0.0025746822357177734,0.008855104446411133,Temp,MNIST,random_forest,10,10000,1000,9000
3,0.9657777777777777,0.11666318208801704,0.01252141414141411,0.027999206349206385,0.6253030303030302,0.04988781483005453,0.6735134364403682,0.018375657737718692,0.9710801023741535,0.0053023245963758694,0.0025463104248046875,0.01056218147277832,Temp,MNIST,random_forest,10,10000,1000,9000
4,0.9661111111111111,0.11414455915652724,0.011531122334455635,0.02787380952380956,0.3893434343434343,0.05489164732843424,0.650578803010113,0.020454259674905897,0.9683974163383086,0.002286305227197496,0.0025119781494140625,0.009827852249145508,Temp,MNIST,random_forest,10,10000,1000,9000
5,0.9654444444444444,0.11464892740883273,0.013516307519640855,0.02951005291005288,0.37469696969696975,0.06045307996413052,0.6340430983911317,0.023130946810375398,0.965022511862699,0.000421932581745537,0.0024869441986083984,0.009271621704101562,Temp,MNIST,random_forest,10,10000,1000,9000
6,0.9672222222222222,0.11274600714509357,0.013806924803591452,0.030087830687830722,0.7062121212121212,0.059761018783119825,0.636850164028147,0.023654618897345228,0.9652174823207681,0.0020047399014540834,0.0026345252990722656,0.00994729995727539,Temp,MNIST,random_forest,10,10000,1000,9000
7,0.9653333333333334,0.11411495607076508,0.014118754208754237,0.02869126984126985,0.38368686868686874,0.05619119311169227,0.6462936421119326,0.021039805188803686,0.9674277543176218,0.0020944209842884767,0.0025162696838378906,0.009376287460327148,Temp,MNIST,random_forest,10,10000,1000,9000
8,0.9655555555555555,0.12084842934810035,0.012731133557800244,0.02672777777777773,0.7331818181818182,0.04054617879283396,0.7096177041227487,0.014385534240895602,0.9761079106360744,0.010552355080518853,0.002544403076171875,0.09120345115661621,Temp,MNIST,random_forest,10,10000,1000,9000
9,0.9647777777777777,0.12097012146722386,0.012361750841750806,0.026493121693121697,0.6522727272727272,0.0448145731206865,0.6918777097210316,0.015671909939973187,0.9740273377747534,0.009249559996975566,0.002674579620361328,0.009984493255615234,Temp,MNIST,random_forest,10,10000,1000,9000
0,0.9751111111111112,0.13981742665510274,0.010367755331088715,0.02082936507936509,0.8421717171717172,0.005636561438153688,0.9118740210886743,0.0116137325982308,0.9864819626046435,0.011370851493532135,0.0030579566955566406,0.009200811386108398,Temp,MNIST,1layer_NN,10,10000,1000,9000
1,0.9762222222222222,0.13083730524376266,0.02097973063973062,0.02329153439153434,0.8601515151515152,0.006468590539409551,0.8843884975201166,0.020787814189213234,0.976957489222542,0.0007352670003197281,0.0025093555450439453,0.009512901306152344,Temp,MNIST,1layer_NN,10,10000,1000,9000
2,0.9754444444444444,0.13745373936555652,0.012283052749719438,0.020869576719576694,0.8152020202020203,0.0058122879707908125,0.9094369896830861,0.013283836447252053,0.984818530505504,0.00937408606105958,0.0025060176849365234,0.008808135986328125,Temp,MNIST,1layer_NN,10,10000,1000,9000
3,0.9763333333333334,0.13040846222926186,0.02091884399551064,0.02342830687830684,0.7702525252525253,0.006964553705559822,0.8799045764352874,0.022217737445145304,0.9754658239833582,0.0008675093499751103,0.0025560855865478516,0.009562015533447266,Temp,MNIST,1layer_NN,10,10000,1000,9000
4,0.9764444444444444,0.13106745853913537,0.019561930415263797,0.022115873015872978,0.8691414141414142,0.005639365740359723,0.8966965075770752,0.018760681803223125,0.9792478653244016,0.002803420879957233,0.0026378631591796875,0.009325742721557617,Temp,MNIST,1layer_NN,10,10000,1000,9000
5,0.9753333333333334,0.13707620346630522,0.012860897867564577,0.02128888888888888,0.9140909090909092,0.006072623078352741,0.9052096847535995,0.014022224312592814,0.9839854961110399,0.008652162777706548,0.002573728561401367,0.008723258972167969,Temp,MNIST,1layer_NN,10,10000,1000,9000
6,0.9757777777777777,0.1330445114759141,0.01820890011223343,0.02224391534391529,0.9051010101010102,0.006464635504589103,0.892691315694225,0.01801156461035423,0.9798254607125788,0.004047682934801167,0.002511262893676758,0.009382486343383789,Temp,MNIST,1layer_NN,10,10000,1000,9000
7,0.976,0.1334081338942026,0.014775387205387205,0.021969576719576715,0.8062121212121213,0.005911914326461844,0.8981790431570542,0.016615485245214234,0.9813395834364402,0.00533958343644023,0.0025169849395751953,0.009366035461425781,Temp,MNIST,1layer_NN,10,10000,1000,9000
8,0.9756666666666667,0.13480716324550668,0.01384536475869815,0.021296296296296292,0.8152020202020203,0.005914687607283576,0.9029381633713953,0.015260315735299686,0.9827491805896298,0.007082513922963211,0.002501964569091797,0.008637189865112305,Temp,MNIST,1layer_NN,10,10000,1000,9000
9,0.9768888888888889,0.1296107190321564,0.02133003367003364,0.02381058201058204,0.8511616161616162,0.006550453409200517,0.8843281920694117,0.02326138223914275,0.9746029101448771,0.002285978744011742,0.0025784969329833984,0.009390592575073242,Temp,MNIST,1layer_NN,10,10000,1000,9000
